#FORMAT=WebAnno TSV 3.3


#Text=title: "ОСНОВНОЕ СВОЙСТВО ДРОБИ 5 класс 6 класс урок 1 математика"
#Text=yb_link: "https://youtu.be/IueKnAI804E"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "3:07"
#Text=text: "Всем привет.
1-1	0-5	title	
9-9	1031-1033	на	
9-10	1034-1038	одно	
9-11	1039-1040	и	
9-12	1041-1043	то	
9-13	1044-1046	же	
9-14	1047-1052	число	
9-15	1053-1056	или	
9-16	1057-1062	делим	
9-17	1063-1068	дробь	
9-18	1069-1071	на	
9-19	1072-1076	одно	
9-20	1077-1078	и	
9-21	1079-1081	то	
9-22	1082-1084	же	
9-23	1085-1090	число	
9-24	1090-1091	,	
9-25	1092-1093	в	
9-26	1094-1102	общем-то	
9-27	1103-1105	мы	
9-28	1106-1114	умножаем	
9-29	1115-1118	или	
9-30	1119-1124	делим	
9-31	1125-1127	на	
9-32	1128-1135	единицу	
9-33	1135-1136	,	
9-34	1137-1140	так	
9-35	1141-1144	как	
9-36	1145-1148	три	
9-37	1149-1156	третьих	
9-38	1157-1158	–	
9-39	1159-1162	это	
9-40	1163-1170	единица	
9-41	1170-1171	.	

#Text=Точно так же, две вторых – это единица.
10-1	1172-1177	Точно	
10-2	1178-1181	так	
10-3	1182-1184	же	
10-4	1184-1185	,	
10-5	1186-1189	две	
10-6	1190-1196	вторых	
10-7	1197-1198	–	
10-8	1199-1202	это	
10-9	1203-1210	единица	
10-10	1210-1211	.	

#Text=А при умножении или делении числа на единицу с числом ничего не происходит, оно также остаётся равным самому себе.
11-1	1212-1213	А	
11-2	1214-1217	при	
11-3	1218-1227	умножении	
11-4	1228-1231	или	
11-5	1232-1239	делении	
11-6	1240-1245	числа	
11-7	1246-1248	на	
11-8	1249-1256	единицу	
11-9	1257-1258	с	
11-10	1259-1265	числом	
11-11	1266-1272	ничего	
11-12	1273-1275	не	
11-13	1276-1286	происходит	
11-14	1286-1287	,	
11-15	1288-1291	оно	
11-16	1292-1297	также	
11-17	1298-1306	остаётся	
11-18	1307-1313	равным	
11-19	1314-1320	самому	
11-20	1321-1325	себе	
11-21	1325-1326	.	

#Text=Всё то же самое справедливо и для неправильных дробей.
12-1	1327-1330	Всё	
12-2	1331-1333	то	
12-3	1334-1336	же	
12-4	1337-1342	самое	
12-5	1343-1354	справедливо	
12-6	1355-1356	и	
12-7	1357-1360	для	
12-8	1361-1373	неправильных	
12-9	1374-1380	дробей	
12-10	1380-1381	.	

#Text=Делим восемь четвёртых на два: и числитель, и знаменатель, получим новую дробь четыре вторых.
13-1	1382-1387	Делим	
13-2	1388-1394	восемь	
13-3	1395-1404	четвёртых	
13-4	1405-1407	на	
13-5	1408-1411	два	
13-6	1411-1412	:	
13-7	1413-1414	и	
13-8	1415-1424	числитель	
13-9	1424-1425	,	
13-10	1426-1427	и	
13-11	1428-1439	знаменатель	
13-12	1439-1440	,	
13-13	1441-1448	получим	
13-14	1449-1454	новую	
13-15	1455-1460	дробь	
13-16	1461-1467	четыре	
13-17	1468-1474	вторых	
13-18	1474-1475	.	

#Text=Также, если я умножу восемь четвёртых на тройку, и числитель, и знаменатель, я получу новую дробь двадцать четыре двенадцатых.
14-1	1476-1481	Также	
14-2	1481-1482	,	
14-3	1483-1487	если	
14-4	1488-1489	я	
14-5	1490-1496	умножу	
14-6	1497-1503	восемь	
14-7	1504-1513	четвёртых	
14-8	1514-1516	на	
14-9	1517-1523	тройку	
14-10	1523-1524	,	
14-11	1525-1526	и	
14-12	1527-1536	числитель	
14-13	1536-1537	,	
14-14	1538-1539	и	
14-15	1540-1551	знаменатель	
14-16	1551-1552	,	
14-17	1553-1554	я	
14-18	1555-1561	получу	
14-19	1562-1567	новую	
14-20	1568-1573	дробь	
14-21	1574-1582	двадцать	
14-22	1583-1589	четыре	
14-23	1590-1601	двенадцатых	
14-24	1601-1602	.	

#Text=И все вот эти дроби будут равны между собой.
15-1	1603-1604	И	
15-2	1605-1608	все	
15-3	1609-1612	вот	
15-4	1613-1616	эти	
15-5	1617-1622	дроби	
15-6	1623-1628	будут	
15-7	1629-1634	равны	
15-8	1635-1640	между	
15-9	1641-1646	собой	
15-10	1646-1647	.	

#Text=Теперь рассмотрим пару примеров.
16-1	1648-1654	Теперь	
16-2	1655-1665	рассмотрим	
16-3	1666-1670	пару	
16-4	1671-1679	примеров	
16-5	1679-1680	.	

#Text=Сколько пятнадцатых долей содержатся в дроби две третьих?
17-1	1681-1688	Сколько	
17-2	1689-1700	пятнадцатых	
17-3	1701-1706	долей	
17-4	1707-1717	содержатся	
17-5	1718-1719	в	
17-6	1720-1725	дроби	
17-7	1726-1729	две	
17-8	1730-1737	третьих	
17-9	1737-1738	?	

#Text=Чтобы нам это узнать, нам нужно эту дробь привести к дроби с новым знаменателем – пятнадцать.
18-1	1739-1744	Чтобы	
18-2	1745-1748	нам	
18-3	1749-1752	это	
18-4	1753-1759	узнать	
18-5	1759-1760	,	
18-6	1761-1764	нам	
18-7	1765-1770	нужно	
18-8	1771-1774	эту	
18-9	1775-1780	дробь	
18-10	1781-1789	привести	
18-11	1790-1791	к	
18-12	1792-1797	дроби	
18-13	1798-1799	с	
18-14	1800-1805	новым	
18-15	1806-1818	знаменателем	
18-16	1819-1820	–	
18-17	1821-1831	пятнадцать	
18-18	1831-1832	.	

#Text=Итак, умножаем и числитель, и знаменатель этой дроби на пять, получим новую дробь десять пятнадцатых.
19-1	1833-1837	Итак	
19-2	1837-1838	,	
19-3	1839-1847	умножаем	
19-4	1848-1849	и	
19-5	1850-1859	числитель	
19-6	1859-1860	,	
19-7	1861-1862	и	
19-8	1863-1874	знаменатель	
19-9	1875-1879	этой	
19-10	1880-1885	дроби	
19-11	1886-1888	на	
19-12	1889-1893	пять	
19-13	1893-1894	,	
19-14	1895-1902	получим	
19-15	1903-1908	новую	
19-16	1909-1914	дробь	
19-17	1915-1921	десять	
19-18	1922-1933	пятнадцатых	
