#FORMAT=WebAnno TSV 3.3


#Text=title: "5 типовых пределов. 1ый из 5и (бесконечность на бесконечность)"
#Text=yb_link: "https://youtu.be/t3ELumyJNcE"
#Text=branch: "теория функций"
#Text=level: "университетская программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "1:32"
#Text=text: "Всем привет.
1-1	0-5	title	
12-7	1039-1047	поделить	
12-8	1048-1050	на	
12-9	1051-1054	икс	
12-10	1055-1060	минус	
12-11	1061-1064	три	
12-12	1065-1073	поделить	
12-13	1074-1076	на	
12-14	1077-1080	икс	
12-15	1081-1082	в	
12-16	1083-1087	кубе	
12-17	1087-1088	,	
12-18	1089-1090	а	
12-19	1091-1092	в	
12-20	1093-1104	знаменателе	
12-21	1105-1114	получится	
12-22	1115-1118	икс	
12-23	1119-1123	кубе	
12-24	1124-1132	умножить	
12-25	1133-1135	на	
12-26	1136-1141	шесть	
12-27	1142-1147	минус	
12-28	1148-1154	четыре	
12-29	1155-1163	делённое	
12-30	1164-1166	на	
12-31	1167-1170	икс	
12-32	1171-1172	в	
12-33	1173-1181	квадрате	
12-34	1182-1186	плюс	
12-35	1187-1190	три	
12-36	1191-1199	делённое	
12-37	1200-1202	на	
12-38	1203-1206	икс	
12-39	1207-1208	в	
12-40	1209-1213	кубе	
12-41	1213-1214	.	

#Text=Что же теперь получается?
13-1	1215-1218	Что	
13-2	1219-1221	же	
13-3	1222-1228	теперь	
13-4	1229-1239	получается	
13-5	1239-1240	?	

#Text=Икс в кубе в числителе и в знаменателе можно легко сократить.
14-1	1241-1244	Икс	
14-2	1245-1246	в	
14-3	1247-1251	кубе	
14-4	1252-1253	в	
14-5	1254-1263	числителе	
14-6	1264-1265	и	
14-7	1266-1267	в	
14-8	1268-1279	знаменателе	
14-9	1280-1285	можно	
14-10	1286-1291	легко	
14-11	1292-1301	сократить	
14-12	1301-1302	.	

#Text=Вот эти вот дроби при икс, стремящимся к бесконечности, будут стремиться к нулю.
15-1	1303-1306	Вот	
15-2	1307-1310	эти	
15-3	1311-1314	вот	
15-4	1315-1320	дроби	
15-5	1321-1324	при	
15-6	1325-1328	икс	
15-7	1328-1329	,	
15-8	1330-1341	стремящимся	
15-9	1342-1343	к	
15-10	1344-1357	бесконечности	
15-11	1357-1358	,	
15-12	1359-1364	будут	
15-13	1365-1375	стремиться	
15-14	1376-1377	к	
15-15	1378-1382	нулю	
15-16	1382-1383	.	

#Text=И это не что иное, как ноль.
16-1	1384-1385	И	
16-2	1386-1389	это	
16-3	1390-1392	не	
16-4	1393-1396	что	
16-5	1397-1401	иное	
16-6	1401-1402	,	
16-7	1403-1406	как	
16-8	1407-1411	ноль	
16-9	1411-1412	.	

